"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2021","45,578.6","45,593.2","45,983.0","45,367.9","73.08K","-0.03%"
"Aug 10, 2021","45,593.8","46,281.8","46,663.4","44,681.2","80.55K","-1.49%"
"Aug 09, 2021","46,284.3","43,794.9","46,460.7","42,824.1","117.08K","5.69%"
"Aug 08, 2021","43,792.8","44,584.9","45,284.1","43,314.4","105.25K","-1.84%"
"Aug 07, 2021","44,614.2","42,784.7","44,697.3","42,611.0","112.84K","4.25%"
"Aug 06, 2021","42,795.4","40,868.4","43,253.4","39,905.4","111.93K","4.72%"
"Aug 05, 2021","40,867.2","39,734.4","41,366.3","37,365.4","130.60K","2.84%"
"Aug 04, 2021","39,736.9","38,188.4","39,956.5","37,556.0","79.22K","4.21%"
"Aug 03, 2021","38,130.3","39,167.4","39,766.6","37,688.2","0.26K","-2.65%"
"Aug 02, 2021","39,168.4","39,869.8","40,449.0","38,692.5","74.81K","-1.78%"
"Aug 01, 2021","39,878.3","41,510.0","42,565.0","39,556.5","80.33K","-4.03%"
"Jul 31, 2021","41,553.7","42,201.4","42,285.3","41,066.4","44.65K","-1.54%"
"Jul 30, 2021","42,203.4","40,001.1","42,264.4","38,358.4","98.45K","5.50%"
"Jul 29, 2021","40,001.4","40,009.0","40,630.7","39,340.8","75.30K","-0.00%"
"Jul 28, 2021","40,003.2","39,450.4","40,862.2","38,883.8","148.92K","1.40%"
"Jul 27, 2021","39,452.0","37,294.3","39,455.9","36,427.4","100.24K","5.84%"
"Jul 26, 2021","37,276.6","35,392.3","40,522.9","35,236.7","177.63K","5.33%"
"Jul 25, 2021","35,391.1","34,392.5","35,391.1","33,881.3","65.10K","4.63%"
"Jul 24, 2021","33,824.8","33,600.5","33,955.0","33,412.9","67.14K","0.66%"
"Jul 23, 2021","33,603.3","32,297.9","33,605.6","32,041.1","66.15K","4.04%"
"Jul 22, 2021","32,298.9","32,131.7","32,585.4","31,729.4","64.87K","0.52%"
"Jul 21, 2021","32,131.4","29,794.7","32,794.6","29,519.3","118.34K","7.85%"
"Jul 20, 2021","29,793.8","30,835.4","31,040.8","29,310.2","97.46K","-3.38%"
"Jul 19, 2021","30,837.2","31,782.9","31,887.0","30,478.2","77.48K","-2.98%"
"Jul 18, 2021","31,785.4","31,517.9","32,408.2","31,220.6","57.01K","0.85%"
"Jul 17, 2021","31,518.6","31,384.4","31,914.8","31,207.8","58.06K","0.40%"
"Jul 16, 2021","31,394.0","31,842.3","32,239.8","31,062.2","70.48K","-1.40%"
"Jul 15, 2021","31,840.5","32,820.5","33,157.0","31,175.8","76.95K","-2.99%"
"Jul 14, 2021","32,820.7","32,727.8","33,051.9","31,611.2","69.56K","0.28%"
"Jul 13, 2021","32,728.1","33,106.1","33,307.7","32,259.5","60.04K","-1.16%"
"Jul 12, 2021","33,113.0","34,228.3","34,598.0","32,662.8","63.24K","-3.26%"
"Jul 11, 2021","34,227.7","33,510.8","34,580.6","33,319.8","35.72K","2.14%"
